Usuario,Encargada,URL,Seguidores,Following,Posts,Posts Semana,Avg Likes,Avg Comments,Engagement Rate (%),Última Actualización
clinica_javier_miranda,Amanda,https://www.instagram.com/clinica_javier_miranda/?hl=es,1570,3072,770,2,N/A,N/A,N/A,2026-04-20
dentalinfanteclinica,Amanda,https://www.instagram.com/dentalinfanteclinica/?hl=es,295,438,220,3,1.0,N/A,0.34,2026-04-20
equialia,Rosi,https://www.instagram.com/equialia/?hl=es,9904,289,682,5,3.0,0.8,0.04,2026-04-20
fraymendel,Rosi,https://www.instagram.com/fraymendel/?hl=es,487,436,715,1,N/A,N/A,N/A,2026-04-20
hyundaidelgautomotor,Rosi,https://www.instagram.com/hyundaidelgautomotor/?fbclid=IwZXh0bgNhZW0CMTEAAR1fEZ52PZbGjZITh-7IW26V8SZr8DlCITCa_BlGL5Hh-YkF3WMeMO5bujk_aem_RkBDlntEmCKBw6fLRr47Ww,390,326,676,4,0.2,N/A,0.06,2026-04-20
clinicaramonycajal,Amanda,https://www.instagram.com/clinicaramonycajal/?fbclid=IwZXh0bgNhZW0CMTEAAR02Twf4GCAIKEHzR6uCcwYP3_iYykqtvUpAhnXHCMl1SfIyQO2yQZ7ZXWU_aem_uxigSi2Ku4i7QSXJdN2xeg,639,614,320,2,1.5,N/A,0.23,2026-04-20
rtecandida,Rosi,https://www.instagram.com/rtecandida/?fbclid=IwZXh0bgNhZW0CMTEAAR1wiAWM5gbvpCTWZY05NfP-DaHmQxqRg0hVBiKrhHjCNPtceyuFk8QCEN0_aem_Js3OGvt2jb7coi3cAZCQyw,6884,2681,947,3,20.7,N/A,0.3,2026-04-20
sobre2ruedasbikes,Amanda,https://www.instagram.com/sobre2ruedasbikes/?fbclid=IwZXh0bgNhZW0CMTEAAR0xPm1ygw_aDtvhi4EJwqBL5yp5RqYoWNwuPniU-bn6KeOThdCsvfMuZuc_aem_ZkTWh21VpVDpg9sNdT6n-Q,1326,558,575,3,15.0,N/A,1.13,2026-04-20
fincaeslava,Rosi,https://www.instagram.com/fincaeslava/,1884,788,449,1,4.0,N/A,0.21,2026-04-20
cemanacardenas,Amanda,https://www.instagram.com/cemanacardenas/?hl=es,798,192,325,6,45.8,1.7,5.95,2026-04-20
dagdaconsultores,Amanda,https://www.instagram.com/dagdaconsultores/?hl=es,265,129,694,3,6.7,0.3,2.64,2026-04-20
galindo_opticos,Amanda,https://www.instagram.com/galindo_opticos/?hl=es,867,731,81,N/A,N/A,N/A,N/A,2026-04-20
cafealafuerza,Rosi,https://www.instagram.com/cafealafuerza/?hl=es,915,683,615,4,6.5,N/A,0.71,2026-04-20
areaservicioelpuente,Rosi,https://www.instagram.com/areaservicioelpuente/?hl=es,339,135,933,3,3.3,N/A,0.98,2026-04-20
arxiduna,Rosi,https://www.instagram.com/arxiduna/?hl=es,2306,1223,804,2,45.5,2.0,2.06,2026-04-20
asadorarjona,Rosi,https://www.instagram.com/asadorarjona/,541,293,497,3,N/A,N/A,N/A,2026-04-20
autodesguacelaslagunas,Rosi,https://www.instagram.com/autodesguacelaslagunas/?hl=es,252,31,544,3,0.3,N/A,0.13,2026-04-20
clivet_azahar,Rosi,https://www.instagram.com/clivet_azahar/?hl=es,907,2027,315,3,2.0,N/A,0.22,2026-04-20
poligonodeantequera,Rosi,https://www.instagram.com/poligonodeantequera/?hl=es,1063,250,587,3,3.3,0.3,0.34,2026-04-20
construccionesmelerosur,Rosi,https://www.instagram.com/construccionesmelerosur/?fbclid=IwZXh0bgNhZW0CMTEAAR0JO-UvozclqE5L62JtXE3UU3hY_5gN6KVu0ETdgOwMfJ59vy397aDBhR8_aem_nf8YVS7P6gTZhYcSCjyTNg,479,276,269,3,0.7,N/A,0.14,2026-04-20
centromedicocoral,Rosi,https://www.instagram.com/centromedicocoral/?hl=es,480,66,688,3,0.3,N/A,0.07,2026-04-20
instalacioneselectricascyl,Rosi,https://www.instagram.com/instalacioneselectricascyl/?hl=es,830,2412,213,3,1.7,N/A,0.2,2026-04-20
electroangeluztien21,Rosi,https://www.instagram.com/electroangeluztien21/?hl=es,186,361,560,4,0.2,N/A,0.13,2026-04-20
electromueblesruiz,Rosi,https://www.instagram.com/electromueblesruiz/?hl=es,366,352,927,3,2.7,N/A,0.73,2026-04-20
montenegrogolosinas,Rosi,https://www.instagram.com/montenegrogolosinas/?hl=es,2455,2232,723,3,15.7,0.3,0.65,2026-04-20
pinturaseldolmen,Rosi,https://www.instagram.com/pinturaseldolmen/?hl=es,147,91,621,3,0.7,N/A,0.45,2026-04-20
piobiem,Rosi,https://www.instagram.com/piobiem/?hl=es,2150,1135,930,7,15.7,0.7,0.76,2026-04-20
cazadores_cafe_tapas_,Rosi,https://www.instagram.com/cazadores_cafe_tapas_/?hl=es,1257,2168,551,3,2.7,0.3,0.24,2026-04-20
grupogutierrezpastor,Rosi,https://www.instagram.com/grupogutierrezpastor/?hl=es,291,253,725,3,3.3,N/A,1.15,2026-04-20
aceiteesenciadeoliv,Rosi,https://www.instagram.com/aceiteesenciadeoliv/?hl=es,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-04-20
torcadul.antequera,Rosi,https://www.instagram.com/torcadul.antequera/?hl=es,1261,627,705,3,26.3,6.3,2.59,2026-04-20
torcalaguaantequera,Rosi,https://www.instagram.com/torcalaguaantequera/?hl=es,53,60,253,4,N/A,N/A,N/A,2026-04-20
restauranteyerbaguena,Rosi,https://www.instagram.com/restauranteyerbaguena/?hl=es,13505,52,482,1,N/A,N/A,N/A,2026-04-20
hotelantequerahills,Rosi,https://www.instagram.com/hotelantequerahills/?hl=es,1578,628,677,3,9.0,0.3,0.59,2026-04-20
